node_id,mask,coalition_size,c_value,mean,second_moment,variance,effective_count,effective_count_pre,blend_weight,probability,n_new,global_progress,epoch,cycle,sampling_phase,run_id,training_type,shapley_tactic
10,1010,2,0.2000000029802322,-0.297452300786972,0.1223673969507217,0.0338895246386528,128.0,96.0,0.25,0.009495242498815,32,0.0,109,3,4,shapley-20260606T023158Z-e155daa6,shapley,baseline
11,11010,3,0.2000000029802322,-0.2369351536035537,0.079347938299179,0.0232096724212169,32.0,0.0,1.0,0.0080303587019443,0,0.0,109,3,4,shapley-20260606T023158Z-e155daa6,shapley,baseline
12,110,2,0.2000000029802322,-1.148421049118042,1.6288747787475586,0.3100038766860962,160.0,96.0,0.4000000059604645,0.0266936942934989,64,0.0,109,3,4,shapley-20260606T023158Z-e155daa6,shapley,baseline
13,10110,3,0.2000000029802322,-0.9030370712280272,0.9881794452667236,0.1727035045623779,128.0,96.0,0.25,0.0201775692403316,0,0.0,109,3,4,shapley-20260606T023158Z-e155daa6,shapley,baseline
14,1110,3,0.2000000029802322,-0.1409496963024139,0.0374415591359138,0.0175747424364089,128.0,64.0,0.5,0.0071176905184984,0,0.0,109,3,4,shapley-20260606T023158Z-e155daa6,shapley,baseline
15,11110,4,0.4000000059604645,-0.0451223030686378,0.0091550163924694,0.0071189943701028,160.0,64.0,0.6000000238418579,0.0087872175499796,96,0.0,109,3,4,shapley-20260606T023158Z-e155daa6,shapley,baseline
16,1,1,0.4000000059604645,-1.6643810272216797,3.694319486618042,0.9241552352905272,256.0,192.0,0.6000000238418579,0.0897248908877372,288,0.0,109,3,4,shapley-20260606T023158Z-e155daa6,shapley,baseline
17,10001,2,0.2000000029802322,-1.3707777261734009,2.7097902297973637,0.8307586908340454,192.0,128.0,0.3333333432674408,0.0430610813200473,64,0.0,109,3,4,shapley-20260606T023158Z-e155daa6,shapley,baseline
18,1001,2,0.2000000029802322,-0.3589252531528473,0.1615758538246154,0.032748520374298,160.0,128.0,0.2000000029802322,0.0093510076403617,32,0.0,109,3,4,shapley-20260606T023158Z-e155daa6,shapley,baseline
19,11001,3,0.2000000029802322,-0.3082959949970245,0.110016256570816,0.0149698331952095,32.0,0.0,1.0,0.0066461381502449,0,0.0,109,3,4,shapley-20260606T023158Z-e155daa6,shapley,baseline
20,101,2,0.2000000029802322,-1.1651737689971924,1.7758145332336426,0.4181846380233764,160.0,128.0,0.2000000029802322,0.030841939151287,32,0.0,109,3,4,shapley-20260606T023158Z-e155daa6,shapley,baseline
21,10101,3,0.2000000029802322,-1.091191291809082,1.679981708526611,0.4892833232879638,256.0,256.0,0.3333333432674408,0.0332792326807975,128,0.0,109,3,4,shapley-20260606T023158Z-e155daa6,shapley,baseline
22,1101,3,0.2000000029802322,-0.1596964597702026,0.0362686440348625,0.0107656847685575,64.0,32.0,0.5,0.0057881074026227,0,0.0,109,3,4,shapley-20260606T023158Z-e155daa6,shapley,baseline
23,11101,4,0.4000000059604645,-0.1019733697175979,0.0173503533005714,0.0069517847150564,64.0,32.0,0.5,0.0086952215060591,0,0.0,109,3,4,shapley-20260606T023158Z-e155daa6,shapley,baseline
24,11,2,0.2000000029802322,-1.254072904586792,1.9561606645584104,0.3834618330001831,128.0,96.0,0.25,0.0295761749148368,32,0.0,109,3,4,shapley-20260606T023158Z-e155daa6,shapley,baseline
25,10011,3,0.2000000029802322,-1.2495827674865725,2.0782859325408936,0.5168288946151733,224.0,160.0,0.2857142984867096,0.0341754183173179,64,0.0,109,3,4,shapley-20260606T023158Z-e155daa6,shapley,baseline
26,1011,3,0.2000000029802322,-0.2550636529922485,0.077891394495964,0.0128339305520057,64.0,32.0,0.5,0.0062278471887111,0,0.0,109,3,4,shapley-20260606T023158Z-e155daa6,shapley,baseline
27,11011,4,0.4000000059604645,-0.1861852407455444,0.0427200198173522,0.0080550760030746,128.0,32.0,0.75,0.0092833843082189,0,0.0,109,3,4,shapley-20260606T023158Z-e155daa6,shapley,baseline
28,111,3,0.2000000029802322,-1.0257459878921509,1.526640772819519,0.4744859933853149,64.0,32.0,0.5,0.032787375152111,32,0.0,109,3,4,shapley-20260606T023158Z-e155daa6,shapley,baseline
29,10111,4,0.4000000059604645,-0.958849847316742,1.2687121629714966,0.3493191599845886,256.0,192.0,0.3333333432674408,0.0555486716330051,96,0.0,109,3,4,shapley-20260606T023158Z-e155daa6,shapley,baseline
30,1111,4,0.4000000059604645,-0.0678944587707519,0.0083321053534746,0.0037224479019641,32.0,0.0,1.0,0.0066310237161815,0,0.0,109,3,4,shapley-20260606T023158Z-e155daa6,shapley,baseline
31,11111,5,1.0,0.0,0.0,0.0,32.0,0.0,1.0,0.0010000000474974,0,0.0,109,3,4,shapley-20260606T023158Z-e155daa6,shapley,baseline
0,0,0,1.0,-1.8035067319869995,4.424304008483887,1.1716675758361816,256.0,256.0,0.5,0.2142593264579773,256,0.0,129,4,5,shapley-20260606T023158Z-e155daa6,shapley,baseline
1,10000,1,0.4000000059604645,-1.6896506547927856,3.79945969581604,0.94454026222229,256.0,256.0,0.3333333432674408,0.0775907039642334,128,0.0,129,4,5,shapley-20260606T023158Z-e155daa6,shapley,baseline
2,1000,1,0.4000000059604645,-0.4096502661705017,0.2147213816642761,0.0469080358743667,256.0,256.0,0.2727272808551788,0.018068267032504,96,0.0,129,4,5,shapley-20260606T023158Z-e155daa6,shapley,baseline
