predictor,feature,feature_group,feature_mse
global_mean,fac_159,fac,1.1319620609283447
global_mean,fac_160,fac,1.0382094383239746
global_mean,fac_161,fac,0.8874691724777222
global_mean,fac_162,fac,1.134912133216858
global_mean,fac_163,fac,1.0608364343643188
global_mean,fac_164,fac,0.9198393225669861
global_mean,fac_165,fac,1.0360761880874634
global_mean,fac_166,fac,0.9303439855575562
global_mean,fac_167,fac,1.029685616493225
global_mean,fac_168,fac,1.0301669836044312
global_mean,fac_169,fac,1.0595015287399292
global_mean,fac_170,fac,0.91595458984375
global_mean,fac_171,fac,1.1546589136123657
global_mean,fac_172,fac,1.0457487106323242
global_mean,fac_173,fac,0.9982291460037231
global_mean,fac_174,fac,1.026100754737854
global_mean,fac_175,fac,1.027977466583252
global_mean,fac_176,fac,0.9418367743492126
global_mean,fac_177,fac,1.0290496349334717
global_mean,fac_178,fac,0.9435105919837952
global_mean,fac_179,fac,1.0099339485168457
global_mean,fac_180,fac,0.9867057204246521
global_mean,fac_181,fac,0.8957881927490234
global_mean,fac_182,fac,0.8639472126960754
global_mean,fac_183,fac,1.076768159866333
global_mean,fac_184,fac,1.016955018043518
global_mean,fac_185,fac,0.8912504315376282
global_mean,fac_186,fac,0.9200491309165955
global_mean,fac_187,fac,0.8566377758979797
global_mean,fac_188,fac,0.9785904884338379
global_mean,fac_189,fac,0.9468052387237549
global_mean,fac_190,fac,0.9847155809402466
global_mean,fac_191,fac,1.016265869140625
global_mean,fac_192,fac,0.97475266456604
global_mean,fac_193,fac,0.9342620372772217
global_mean,fac_194,fac,0.9834370613098145
global_mean,fac_195,fac,1.0673558712005615
global_mean,fac_196,fac,0.8961803913116455
global_mean,fac_197,fac,0.9035025238990784
global_mean,fac_198,fac,0.8926771283149719
global_mean,fac_199,fac,0.9189698100090027
global_mean,fac_200,fac,0.9350093603134155
global_mean,fac_201,fac,1.0018850564956665
global_mean,fac_202,fac,1.0566307306289673
global_mean,fac_203,fac,0.9049175381660461
global_mean,fac_204,fac,0.9266452193260193
global_mean,fac_205,fac,0.9899828433990479
global_mean,fac_206,fac,0.8645806908607483
global_mean,fac_207,fac,1.0253959894180298
global_mean,fac_208,fac,0.9295780062675476
global_mean,fac_209,fac,0.9288522601127625
global_mean,fac_210,fac,1.0397388935089111
global_mean,fac_211,fac,0.9863477945327759
global_mean,fac_212,fac,1.0103325843811035
global_mean,fac_213,fac,0.8434435129165649
global_mean,fac_214,fac,0.8489409685134888
global_mean,fac_215,fac,0.9410775899887085
global_mean,kar_000,kar,0.9413076639175415
global_mean,kar_001,kar,0.930581271648407
global_mean,kar_002,kar,1.1237154006958008
global_mean,kar_003,kar,0.981407880783081
global_mean,kar_004,kar,0.9990545511245728
global_mean,kar_005,kar,1.0539320707321167
global_mean,kar_006,kar,1.0217093229293823
global_mean,kar_007,kar,0.9678484201431274
global_mean,kar_008,kar,1.0710835456848145
global_mean,kar_009,kar,0.9608680009841919
global_mean,kar_010,kar,1.104466199874878
global_mean,kar_011,kar,1.086798906326294
global_mean,kar_012,kar,0.9069811105728149
global_mean,kar_013,kar,1.0324167013168335
global_mean,kar_014,kar,1.0544577836990356
global_mean,kar_015,kar,0.8310126662254333
global_mean,kar_016,kar,1.0146632194519043
global_mean,kar_017,kar,1.1276780366897583
global_mean,kar_018,kar,1.2174991369247437
global_mean,kar_019,kar,1.1736096143722534
global_mean,kar_020,kar,0.959361732006073
global_mean,kar_021,kar,1.0572502613067627
global_mean,kar_022,kar,0.9327479600906372
global_mean,kar_023,kar,0.9297370910644531
global_mean,kar_024,kar,1.0287278890609741
global_mean,kar_025,kar,1.0797024965286255
global_mean,kar_026,kar,1.1018952131271362
global_mean,kar_027,kar,1.003431797027588
global_mean,kar_028,kar,0.9162850379943848
global_mean,kar_029,kar,1.081007480621338
global_mean,kar_030,kar,0.9849982261657715
global_mean,kar_031,kar,1.02372145652771
global_mean,kar_032,kar,1.008892297744751
global_mean,kar_033,kar,0.999541699886322
global_mean,kar_034,kar,0.9820245504379272
global_mean,kar_035,kar,1.0280259847640991
global_mean,kar_036,kar,0.9528422355651855
global_mean,kar_037,kar,0.9574633836746216
global_mean,kar_038,kar,0.9849545955657959
global_mean,kar_039,kar,0.9045639634132385
global_mean,kar_040,kar,0.9340094923973083
global_mean,kar_041,kar,1.0051231384277344
global_mean,kar_042,kar,0.9640472531318665
global_mean,kar_043,kar,0.9285956025123596
global_mean,kar_044,kar,1.0549101829528809
global_mean,kar_045,kar,1.0263314247131348
global_mean,kar_046,kar,0.9465649127960205
global_mean,kar_047,kar,0.955794095993042
global_mean,kar_048,kar,1.0176281929016113
global_mean,kar_049,kar,1.1447858810424805
global_mean,kar_050,kar,1.0620962381362915
global_mean,kar_051,kar,0.9993312358856201
global_mean,kar_052,kar,0.9972261786460876
global_mean,kar_053,kar,1.0282708406448364
global_mean,kar_054,kar,0.9990079402923584
global_mean,kar_055,kar,1.006359577178955
global_mean,kar_056,kar,0.88816237449646
global_mean,kar_057,kar,1.057763934135437
global_mean,kar_058,kar,1.0775911808013916
global_mean,kar_059,kar,1.0163583755493164
global_mean,kar_060,kar,0.9965980648994446
global_mean,kar_061,kar,1.0286717414855957
global_mean,kar_062,kar,0.9952989220619202
global_mean,kar_063,kar,1.0292881727218628
global_mean,pix_000,pix,1.0211386680603027
global_mean,pix_001,pix,1.0239472389221191
global_mean,pix_002,pix,0.9774945974349976
global_mean,pix_003,pix,0.9698987007141113
global_mean,pix_004,pix,1.0191155672073364
global_mean,pix_005,pix,1.014689564704895
global_mean,pix_006,pix,0.9994680881500244
global_mean,pix_007,pix,0.9398550987243652
global_mean,pix_008,pix,0.9910963177680969
global_mean,pix_009,pix,0.9664061665534973
